,case_vignette,choice_1,choice_2,choice_3,choice_4,answer,category,dataset,case_id
0,"A 22-year-old man presented with complaints of painful lesions on his penis and swelling in the left groin that started 10 days ago. He denied fever, chills, night sweats, rashes, dysuria, discharge, testicular pain, or proctitis. His female partner had been diagnosed with chlamydia one year earlier but he has not undergone evaluation. Multiple small, nontender scabbed lesions are identified in the bilateral scrotal area and on the shaft of penis. The right inguinal lymph node was tender and swollen.",Lymphogranuloma venereum,Herpes,Chancroid,Syphilis,Lymphogranuloma venereum,Dermatology,dermatology_public,case_0
1,"A 51-year-old white man presents to the clinic with a 2-year history of a painful, recurrent rash on his fingers. He initially noticed redness, irritation, and pustules around his nails that he thought were caused by an infection. However, the rash progressed to affect the nail bed, eventually destroying his nails. On examination, well-demarcated, scaly plaques with associated pustules and nail atrophy are present on the right second and third distal digits. He is otherwise healthy.",Acrodermatitis continua of Hallopeau,Herpetic whitlow,Paronychia,Acute contact dermatitis,Acute contact dermatitis,Dermatology,dermatology_public,case_1
2,"An 8-year-old male child is brought to the clinic for the third time in 4 months presenting with red-brown papules with an overlying mica-like scale on the ventral side of his arms and legs. His medical and family histories are otherwise unremarkable. His mother states that when the macules and papules go away, the skin where the lesions were previously located is typically lighter than before.",Varicella,Gianotti-Crosti syndrome,Langerhans cell histiocytosis,Pityriasis lichenoides et varioliformis acuta,Pityriasis lichenoides et varioliformis acuta,Dermatology,dermatology_public,case_2
3,"A 24-year-old white female graduate student presents with erythematous, papulopustular patches of skin in a muzzle-like distribution surrounding the mouth, chin, and glabellar region. The lesions are tender to palpation, associated with a stinging and burning sensation, and are aggravated by exfoliating facial washes. Two-year treatment history includes a variety of topical antibiotics, azelaic acid cream, retinoid agents, benzoyl peroxide preparations, topical corticosteroids, and oral tetracycline for cyclic recurrences of outbreaks. These treatment methods were previously successful with complete resolution of each outbreak; however, at present the lesions are persisting despite treatment.",Perioral dermatitis,Acne vulgaris,Allergic contact dermatitis,Facial demodicosis,Perioral dermatitis,Dermatology,dermatology_public,case_3
4,"A 20-year-old woman presents to the clinic with a circular hypopigmented lesion on her right cheek. The patient stated that she used to have a mole in the same location. Over time she noticed a white area around the mole that enlarged to the current size of the lesion. After a few months she noticed the mole in the center of the lesion had disappeared. On further questioning, she denies any personal or family history of skin cancer.",Halo nevus,Melanoma,Vitiligo,Dysplastic nevus,Halo nevus,Dermatology,dermatology_public,case_4
5,"A 29-year-old woman with a history of acne presents to the clinic with 3 discrete, atrophic, blue-tinged plaques on her face. The plaques were located on her forehead and cheeks bilaterally. The patient states the lesions had been present for several months and had slowly worsened until they stabilized at their current appearance. The patient reported that the lesions occurred after she went to a physician for “acne treatment.” The patient has no other medical conditions or relevant social history.",Lichen sclerosis,Corticosteroid-induced atrophy,Morphea,Pityriasis rosea,Corticosteroid-induced atrophy,Dermatology,dermatology_public,case_5
6,"A 22-year-old woman complains of an itchy rash on her leg for 4 weeks. She is a collegiate swimmer and had a prior ringworm infection during her freshman year. She has been using over-the-counter antifungal cream for the past 3 weeks with no relief. Multiple round, erythematous, scaling lesions are present on her right leg, some of which are vesicular and weeping. Potassium hydroxide (KOH) test is negative for a dermatophytic infection.",Tinea corporis,Mycosis fungoides,Nummular Eczema,Psoriasis,Nummular Eczema,Dermatology,dermatology_public,case_6
7,"A 62-year-old African American man presents to establish care and to undergo skin examination, which he reports receiving regularly since his sister was diagnosed with melanoma. Examination reveals 3-mm hyperpigmented horizontal bands across the nailbeds of all fingernails, which he reports have been present since his 20s. He denies experiencing any other nail changes or pain. He takes no medications, and he has no history of skin cancer or suspicious moles. He has no relevant medical history.",Subungual hematoma,Melanonychia,Subungual melanoma,Nummular eczema,Melanonychia,Dermatology,dermatology_public,case_7
8,"A 60-year-old man presents to the clinic with a 1-cm long horn-like projection coming from the skin on the superior aspect of the skull just lateral to midline. The structure is yellowish-white in color and feels very firm to the touch. He states that he noticed a small, hard lesion a few months ago and that it has grown progressively larger from the time of initial presentation to now. The patient denies any pain at rest but states that he experiences pain when the lesion is struck accidentally.",Pemphigus vegetans,Acrodermatitis continua supperativa,Proderma gangraneosum,Cutaneous horn,Cutaneous horn,Dermatology,dermatology_public,case_8
9,"A 43-year-old African American woman presents to the clinic with irritative lesions in the folds of her abdomen and in her genital region as well as painful ulcers in her oral mucosa. The patient reports noticing some flaccid blisters in addition to the lesions she presents with. On examination, erythematous, vegetative lesions are found. She states that the affected areas are painful but not pruritic. She has a previous history of herpes simplex virus (HSV).",Proderma gangraneosum,Pemphigus vegetans,Bowen’s disease,Squamous cell carcinoma,Pemphigus vegetans,Dermatology,dermatology_public,case_9
