case_id,only_possible_answer,single_most_likely_answer
public_case01,Yes,
public_case02,No,No
public_case03,No,Yes
public_case04,Yes,
public_case05,Yes,
public_case06,No,No
public_case07,Yes,
public_case08,Yes,
public_case09,Yes,
public_case10,Yes,
public_case11,Yes,
public_case12,Yes,
public_case13,Yes,
public_case14,Yes,
public_case15,No,Yes
public_case16,No,No
public_case17,Yes,
public_case18,Yes,
public_case19,No,No
public_case20,Yes,
public_case21,No,Yes
public_case22,Yes,
public_case23,No,Yes
public_case24,Yes,
public_case25,No,No
public_case26,No,No
public_case27,No,Yes
public_case28,Yes,
public_case29,Yes,
public_case30,No,Yes
public_case31,Yes,
public_case32,Yes,
public_case33,Yes,
public_case34,Yes,
public_case35,Yes,
public_case36,No,No
public_case37,Yes,
public_case38,Yes,
public_case39,Yes,
public_case40,No,No
public_case41,No,Yes
public_case42,Yes,
public_case43,Yes,
public_case44,No,No
public_case45,No,No
public_case46,Yes,
public_case47,Yes,
public_case48,No,No
public_case49,Yes,
public_case50,Yes,
public_case51,Yes,
public_case52,Yes,
public_case53,Yes,
public_case54,Yes,
public_case55,Yes,
public_case56,Yes,
public_case57,Yes,
public_case58,No,No
public_case59,No,No
public_case60,Yes,
public_case61,Yes,
public_case62,Yes,
public_case63,No,Yes
public_case64,Yes,
public_case65,No,Yes
public_case66,No,Yes
public_case67,No,No
public_case68,No,No
public_case69,Yes,
public_case70,Yes,
public_case71,Yes,
public_case72,No,No
public_case73,Yes,
public_case74,Yes,
public_case75,Yes,
public_case76,Yes,
public_case77,Yes,
public_case78,No,No
public_case79,Yes,
public_case80,Yes,
public_case81,Yes,
public_case82,Yes,
public_case83,No,Yes
public_case84,No,No
public_case85,No,No
public_case86,Yes,
public_case87,Yes,
public_case88,No,No
public_case89,Yes,
public_case90,Yes,
public_case91,No,No
public_case92,Yes,
public_case93,Yes,
public_case94,No,Yes
public_case95,Yes,
public_case96,Yes,
public_case97,No,Yes
public_case98,Yes,
public_case99,Yes,
public_case100,Yes,
private_case01,Yes,
private_case02,Yes,
private_case03,Yes,
private_case04,Yes,
private_case05,Yes,
private_case06,No,Yes
private_case07,No,No
private_case08,Yes,
private_case09,Yes,
private_case10,Yes,
private_case11,Yes,
private_case12,Yes,
private_case13,Yes,
private_case14,Yes,
private_case15,Yes,
private_case16,Yes,
private_case17,Yes,
private_case18,Yes,
private_case19,Yes,
private_case20,No,Yes
private_case21,Yes,
private_case22,Yes,
private_case23,Yes,
private_case24,Yes,
private_case25,Yes,
private_case26,Yes,
private_case27,Yes,
private_case28,Yes,
private_case29,Yes,
private_case30,Yes,
private_case31,Yes,
private_case32,Yes,
private_case33,Yes,
private_case34,Yes,
private_case35,Yes,
private_case36,Yes,
private_case37,Yes,
private_case38,Yes,
private_case39,Yes,
private_case40,Yes,
private_case41,Yes,
private_case42,Yes,
private_case43,Yes,
private_case44,Yes,
private_case45,Yes,
private_case46,Yes,
private_case47,Yes,
private_case48,Yes,
private_case49,Yes,
private_case50,Yes,
private_case51,Yes,
private_case52,Yes,
private_case53,Yes,
private_case54,Yes,
private_case55,Yes,
private_case56,Yes,
private_case57,Yes,
private_case58,Yes,
private_case59,Yes,
private_case60,Yes,
private_case61,Yes,
private_case62,Yes,
private_case63,Yes,
private_case64,Yes,
private_case65,Yes,
private_case66,Yes,
private_case67,Yes,
private_case68,Yes,
private_case69,Yes,
private_case70,Yes,
private_case71,Yes,
private_case72,Yes,
private_case73,Yes,
private_case74,Yes,
private_case75,Yes,
private_case76,Yes,
private_case77,Yes,
private_case78,Yes,
private_case79,Yes,
private_case80,Yes,
private_case81,Yes,
private_case82,Yes,
private_case83,Yes,
private_case84,Yes,
private_case85,Yes,
private_case86,Yes,
private_case87,Yes,
private_case88,Yes,
private_case89,Yes,
private_case90,Yes,
private_case91,Yes,
private_case92,Yes,
private_case93,Yes,
private_case94,Yes,
private_case95,Yes,
private_case96,Yes,
private_case97,Yes,
private_case98,Yes,
private_case99,Yes,
private_case100,Yes,
