case_id	trial_id	q2	q3	q4
private_case01	trial_0	Yes	Yes	Yes
private_case02	trial_0	Yes	Yes	Yes
private_case03	trial_0	Yes	Yes	Yes
private_case04	trial_0	Yes	Yes	No
private_case05	trial_0	Yes	Yes	Yes
private_case06	trial_0	No	Yes	No
private_case07	trial_0	No	Yes	Yes
private_case08	trial_0	Yes	Yes	Yes
private_case09	trial_0	Yes	Yes	No
private_case10	trial_0	Yes	Yes	Yes
public_case01	trial_0	Yes	Yes	Yes
public_case02	trial_0	No	Yes	Yes
public_case03	trial_0	No	Yes	Yes
public_case04	trial_0	No	No	No
public_case05	trial_0	No	No	Yes
public_case06	trial_0	No	No	No
public_case07	trial_0	Yes	Yes	Yes
public_case08	trial_0	Yes	Yes	Yes
public_case09	trial_0	Yes	Yes	No
public_case10	trial_0	No	No	Yes
public_case11	trial_0	Yes	Yes	Yes
public_case12	trial_0	No	No	Yes
public_case13	trial_0	No	No	Yes
public_case14	trial_0	Yes	Yes	Yes
public_case15	trial_0	Yes	Yes	Yes
public_case16	trial_0	No	No	Yes
public_case17	trial_0	Yes	Yes	Yes
public_case18	trial_0	Yes	Yes	Yes
public_case19	trial_0	No	Yes	Yes
public_case20	trial_0	Yes	Yes	Yes
public_case21	trial_0	No	Yes	Yes
public_case22	trial_0	Yes	Yes	No
public_case23	trial_0	No	Yes	Yes
public_case24	trial_0	Yes	Yes	Yes
public_case25	trial_0	No	Yes	Yes
public_case51	trial_0	Yes	Yes	Yes
public_case52	trial_0	No	No	Yes
public_case53	trial_0	Yes	Yes	Yes
public_case54	trial_0	Yes	No	Yes
public_case55	trial_0	No	No	Yes
public_case56	trial_0	No	No	Yes
public_case57	trial_0	Yes	Yes	Yes
public_case58	trial_0	No	No	Yes
public_case59	trial_0	No	No	Yes
public_case60	trial_0	Yes	Yes	Yes
public_case61	trial_0	No	No	Yes
public_case62	trial_0	No	Yes	Yes
public_case63	trial_0	No	Yes	Yes
public_case64	trial_0	Yes	Yes	Yes
public_case65	trial_0	No	Yes	Yes
public_case66	trial_0	No	No	Yes
public_case67	trial_0	No	Yes	Yes
public_case68	trial_0	No	Yes	Yes
public_case69	trial_0	Yes	Yes	Yes
public_case70	trial_0	Yes	Yes	Yes
public_case71	trial_0	Yes	Yes	Yes
public_case72	trial_0	No	No	Yes
public_case73	trial_0	Yes	No	No
public_case74	trial_0	Yes	No	Yes
public_case75	trial_0	Yes	Yes	Yes
